#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"Discord","C:\Users\Liam.LAPTOP-2IGPQAFN\AppData\Local\Discord\app-1.0.9021\Discord.exe","20692"
"Discord","C:\Users\Liam.LAPTOP-2IGPQAFN\AppData\Local\Discord\app-1.0.9021\Discord.exe","20920"
"Discord","C:\Users\Liam.LAPTOP-2IGPQAFN\AppData\Local\Discord\app-1.0.9021\Discord.exe","20944"
"Discord","C:\Users\Liam.LAPTOP-2IGPQAFN\AppData\Local\Discord\app-1.0.9021\Discord.exe","22236"
"dllhost","C:\Windows\system32\DllHost.exe","7560"
"dllhost","C:\Windows\system32\DllHost.exe","9348"
"dwm","C:\Windows\system32\dwm.exe","1748"
"EABackgroundService","C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EABackgroundService.exe","8984"
"EALaunchHelper","C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EALaunchHelper.exe","13200"
"explorer","C:\Windows\Explorer.EXE","9312"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","1392"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","1676"
"GameBar","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_6.123.10181.0_x64__8wekyb3d8bbwe\GameBar.exe","28768"
"GameBarFTServer","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_6.123.10181.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe","26116"
"gameinputsvc","C:\Program Files (x86)\Microsoft GameInput\x64\gameinputsvc.exe","5248"
"gameinputsvc","C:\Program Files (x86)\Microsoft GameInput\x64\gameinputsvc.exe","5816"
"GameManagerService","C:\Program Files (x86)\Razer\Razer Services\GMS\GameManagerService.exe","5408"
"GameSDK","C:\Program Files (x86)\ASUS\GameSDK Service\GameSDK.exe","5308"
"gamingservices","C:\Program Files\WindowsApps\Microsoft.GamingServices_15.81.24001.0_x64__8wekyb3d8bbwe\GamingServices.exe","3008"
"gamingservicesnet","C:\Program Files\WindowsApps\Microsoft.GamingServices_15.81.24001.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe","7992"
"Idle",,"0"
"JetBrains.Etw.Collector.Host","C:\Program Files\JetBrains\ETW Host\16\JetBrains.Etw.Collector.Host.exe","5324"
"jetbrains-toolbox","C:\Users\Liam.LAPTOP-2IGPQAFN\AppData\Local\JetBrains\Toolbox\bin\jetbrains-toolbox.exe","20108"
"jusched","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","19964"
"LightingService","C:\Program Files (x86)\LightingService\LightingService.exe","5384"
"LockApp","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","2816"
"lsass","C:\Windows\system32\lsass.exe","1220"
"Memory Compression",,"3844"
"Microsoft.Media.Player","C:\Program Files\WindowsApps\Microsoft.ZuneMusic_11.2309.6.0_x64__8wekyb3d8bbwe\Microsoft.Media.Player.exe","24216"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","8244"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","20564"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","22808"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","27268"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","28492"
"MsMpEng",,"5772"
"NisSrv",,"5020"
"nvcontainer","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","1620"
"nvcontainer","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","3040"
"nvcontainer","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe","5348"
"NVDisplay.Container","C:\Windows\System32\DriverStore\FileRepository\nvami.inf_amd64_f3252b450022f8db\Display.NvContainer\NVDisplay.Container.exe","3052"
"NVDisplay.Container","C:\Windows\System32\DriverStore\FileRepository\nvami.inf_amd64_f3252b450022f8db\Display.NvContainer\NVDisplay.Container.exe","3528"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","3972"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","20800"
"NVIDIA Share","C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe","22320"
"NVIDIA Web Helper","C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe","12080"
"nvsphelper64","C:\Program Files\NVIDIA Corporation\ShadowPlay\nvsphelper64.exe","17124"
"OfficeClickToRun","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe","5464"
"opera","C:\Program Files\Opera\opera.exe","2836"
"opera","C:\Program Files\Opera\opera.exe","4428"
"opera","C:\Program Files\Opera\opera.exe","5912"
"opera","C:\Program Files\Opera\opera.exe","7300"
"opera","C:\Program Files\Opera\opera.exe","13236"
"opera","C:\Program Files\Opera\opera.exe","15500"
"opera","C:\Program Files\Opera\opera.exe","15580"
"opera","C:\Program Files\Opera\opera.exe","15716"
"opera","C:\Program Files\Opera\opera.exe","15896"
"opera","C:\Program Files\Opera\opera.exe","16356"
"opera","C:\Program Files\Opera\opera.exe","16564"
"opera","C:\Program Files\Opera\opera.exe","16596"
"opera","C:\Program Files\Opera\opera.exe","16604"
"opera","C:\Program Files\Opera\opera.exe","16672"
"opera","C:\Program Files\Opera\opera.exe","17632"
"opera","C:\Program Files\Opera\opera.exe","17664"
"opera","C:\Program Files\Opera\opera.exe","18064"
"opera","C:\Program Files\Opera\opera.exe","18200"
"opera","C:\Program Files\Opera\opera.exe","18312"
"opera","C:\Program Files\Opera\opera.exe","18528"
"opera","C:\Program Files\Opera\opera.exe","18620"
"opera","C:\Program Files\Opera\opera.exe","18692"
"opera","C:\Program Files\Opera\opera.exe","18708"
"opera","C:\Program Files\Opera\opera.exe","18772"
"opera","C:\Program Files\Opera\opera.exe","18808"
"opera","C:\Program Files\Opera\opera.exe","19020"
"opera","C:\Program Files\Opera\opera.exe","19068"
"opera","C:\Program Files\Opera\opera.exe","19076"
"opera","C:\Program Files\Opera\opera.exe","19084"
"opera","C:\Program Files\Opera\opera.exe","20284"
"opera","C:\Program Files\Opera\opera.exe","21384"
"opera","C:\Program Files\Opera\opera.exe","22516"
"opera","C:\Program Files\Opera\opera.exe","23092"
"opera","C:\Program Files\Opera\opera.exe","24888"
"opera","C:\Program Files\Opera\opera.exe","26112"
"opera","C:\Program Files\Opera\opera.exe","26192"
"opera","C:\Program Files\Opera\opera.exe","28272"
"opera","C:\Program Files\Opera\opera.exe","28392"
"opera","C:\Program Files\Opera\opera.exe","30284"
"opera_crashreporter","C:\Program Files\Opera\103.0.4928.47\opera_crashreporter.exe","17224"
"PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.23082.131.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","24860"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","15284"
"Razer Central","C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe","21476"
"Razer Synapse 3","C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe","20440"
"Razer Synapse Service","C:\Program Files (x86)\Razer\Synapse3\Service\Razer Synapse Service.exe","8888"
"Razer Synapse Service Process","C:\Program Files (x86)\Razer\Synapse3\Service\..\UserProcess\Razer Synapse Service Process.exe","10288"
"RazerCentralService","C:\Program Files (x86)\Razer\Razer Services\Razer Central\RazerCentralService.exe","5656"
"Registry",,"172"
"ROGLiveService","C:\Program Files\ASUS\ROG Live Service\ROGLiveService.exe","5520"
"RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_719a4f3eb3c3c65a\RtkAudUService64.exe","5504"
"RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_719a4f3eb3c3c65a\RtkAudUService64.exe","12312"
"RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_719a4f3eb3c3c65a\RtkAudUService64.exe","21932"
"RtkUWP","C:\Program Files\WindowsApps\RealtekSemiconductorCorp.RealtekAudioControl_1.37.275.0_x64__dt26b99r8h8gj\RtkUWP.exe","19416"
"rundll32","C:\Windows\system32\rundll32.exe","8040"
"rundll32","C:\Windows\system32\rundll32.exe","9816"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8060"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","11316"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","13080"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","13116"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","13488"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","13504"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","14716"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","14756"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","16640"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","20356"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","24100"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","27720"
"RzChromaStreamServer","C:\Program Files (x86)\Razer Chroma SDK\bin\RzChromaStreamServer.exe","5428"
"RzSDKServer","C:\Program Files (x86)\Razer Chroma SDK\bin\RzSDKServer.exe","5552"
"RzSDKService","C:\Program Files (x86)\Razer Chroma SDK\bin\RzSDKService.exe","5580"
"SDXHelper","C:\Program Files\Microsoft Office\Root\Office16\SDXHelper.exe","4404"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","12432"
"SearchIndexer","C:\Windows\system32\SearchIndexer.exe","11404"
"SecurityHealthService",,"19488"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","11944"
"services",,"1212"
"SgrmBroker",,"15964"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","4388"
"sihost","C:\Windows\system32\sihost.exe","10704"
"smartscreen","C:\Windows\System32\smartscreen.exe","16900"
"smss",,"644"
"spoolsv","C:\Windows\System32\spoolsv.exe","4820"
